StationID,StationNO,name,available,empty
1,0019,生態園區站,14,14
2,0022,巨蛋站,0,32
3,0018,凹仔底站,8,24
4,0017,後驛站,12,20
5,0016,後火車站,16,16
6,0003,美麗島站,20,12
7,0009,中央公園站,21,11
8,0021,三多站,23,9
9,0028,新光中山站,17,15
10,0010,獅甲站,23,9
12,0026,凱旋站,9,23
13,0006,西子灣站,24,8
14,0043,鹽埕埔站,17,11
15,0008,市議會(舊址)站,10,22
16,0015,新興區公所站,18,6
17,0038,文化中正站,0,24
18,0029,五塊厝站,15,17
19,0027,技擊館站,0,32
96,0013,衛武營站,21,11
99,0052,大東文化藝術中心站-01,23,9
100,0051,大東文化藝術中心站-02,16,8
102,0053,捷運鳳山站,16,16
104,0056,捷運鳳山西站,12,20
107,0059,捷運小港站,17,15
123,0075,捷運青埔站,14,18
124,0077,捷運南岡山站,16,16
117,0069,捷運世運主場館站,25,7
119,0071,捷運楠梓加工出口區站,22,10
121,0073,捷運都會公園站,15,17
135,0088,高雄國際機場站,14,18
141,0094,草衙站,4,28
145,0098,福誠高中站,7,25
150,0103,南華市場站,6,10
151,0104,郵政總局站,9,7
139,0092,高鐵左營站,0,32
158,0111,巨蛋站(2),1,11
159,0112,後驛站(2),4,12
161,0114,中央公園站(2),8,4
163,0116,三多站(2),4,8
165,0118,文化中正站(2),0,12
243,0123,前鎮高中站,7,25
262,0139,台鐵新左營站,1,15
343,0177,捷運鳳山國中站,7,5
260,0137,捷運大寮站,6,26
261,0138,輔英科技大學站,0,32
344,0178,新甲國小站,11,5
346,0180,三信家商站,3,13
347,0181,大同醫院站,8,8
348,0182,公二公園站,5,11
349,0183,後備指揮部站,3,13
350,0184,三民高中站,4,12
351,0185,家樂福鼎山站,13,3
352,0186,新光國小站,16,0
353,0187,新莊高中站,5,11
354,0188,海青工商站,2,14
355,0189,合群新城和區站,9,7
356,0190,富國公園站,5,11
357,0191,鼓山高中站,8,8
358,0192,仁武區運動公園站,8,8
359,0193,旗津醫院站,6,10
360,0194,興達港站(2),8,8
361,0195,明德國小站,7,9
263,0140,扶輪公園站,17,7
264,0141,高雄榮總站,10,22
266,0143,岡山河堤公園站,16,16
267,0144,岡山稽徵所站,12,16
268,0145,岡山忠孝里站,17,15
269,0146,岡山文化中心站,10,14
270,0147,原民會站,13,11
271,0148,消防局站,15,17
272,0149,前鎮加工區站(1),6,10
273,0150,前鎮加工區站(2),7,9
275,0152,福裕停車場站,8,16
276,0153,文化中心站,9,23
277,0154,正義市場站,13,3
278,0155,高雄高商站,12,16
280,0156,高雄監理所站,20,12
281,0157,楠梓翠屏站,12,20
282,0158,鳳新高中站(2),9,23
316,0159,森林公園站(2),6,26
317,0160,高雄真愛館站,10,6
319,0163,興達港站,11,5
321,0161,小港醫院站,15,17
322,0162,自由市場站,20,8
323,0164,文山高中站,8,8
324,0165,市府鳳山行政中心站(2),1,31
325,0166,澄清湖站(3),8,8
326,0167,澄清湖站(4),4,12
327,0168,澄清湖站(5),1,15
335,0134,大寮區公所站,2,14
336,0170,長青綜合服務中心站,7,9
337,0171,翠平公園站,12,4
338,0172,中鋼成功站,1,15
339,0173,聖和公園站,16,0
340,0174,圖書總館站,2,14
341,0175,中山公園站,9,7
342,0176,高雄監理所(武營)站,10,6
244,0124,美術館馬卡道站,8,24
245,0125,福山廣場站,15,17
249,0126,阿公店水庫站,12,4
251,0127,澄清湖站(2),10,22
252,0128,寶業里滯洪池站,18,14
253,0129,陽明溜冰場站,11,5
254,0130,義民廟站,15,1
255,0131,鼎泰廣場站,24,8
256,0132,平和停車場站,16,16
257,0133,小港區公所站,13,19
258,0135,和春技術學院站(1),18,10
259,0136,和春技術學院站(2),9,23
166,0119,文化師大站(2),2,10
167,0120,光華公園站(2),12,0
168,0121,海科大旗津站(2),5,11
241,0122,鳳新高中站,13,19
164,0117,市府四維站(2),7,5
162,0115,高雄女中站(2),4,8
160,0113,高雄醫學大學站(2),7,5
140,0093,孔廟站,15,17
152,0105,民族八德站,8,24
153,0106,高雄大學站,17,15
154,0107,中山高中站,13,19
155,0108,龍華國小站,15,17
156,0109,海科大旗津站(1),0,16
146,0099,道明中學站,13,15
147,0100,英明公園站,31,1
148,0101,四維公園站,14,2
149,0102,正修大學站,19,13
142,0095,佛公國小站,18,14
143,0096,海洋局站,17,15
144,0097,二聖公園站,21,11
137,0090,左營高中站,8,24
138,0091,蓮潭會館站,3,25
122,0074,高雄第一科技大學站,12,20
120,0072,加昌國小站,13,19
118,0070,世運主場館站,21,11
125,0078,岡山區公所站,16,4
126,0079,西子樓站,11,21
127,0080,龍虎塔站,8,24
128,0081,右昌圖書館站,4,20
129,0082,中鋼台船站,17,15
130,0083,金獅湖站,10,22
131,0084,文藻外語大學站,15,15
132,0085,莊敬公園站,11,21
133,0086,高雄高工站,10,22
134,0087,鼎金國小站,18,14
108,0060,餐旅高中站,10,18
109,0061,社教館站,15,9
110,0062,班超公園站,13,11
111,0063,高雄中學站,22,6
112,0064,博愛國小站,10,18
113,0065,客家文物館站,5,19
114,0066,明堤公園站,25,3
115,0067,微笑公園站,11,21
116,0068,左營國小站,17,15
105,0057,市府鳳山行政中心站,8,24
106,0058,澄清湖站,23,9
103,0054,鳳凌廣場站,5,19
101,0055,市議會(新址)站,11,21
97,0034,高雄醫學大學站,5,23
98,0050,美術館藝片天站,14,18
20,0001,蓮池潭站,10,22
21,0037,裕誠辛亥站,20,12
