StationID,StationNO,name,available,empty
1,0019,生態園區站,12,15
2,0022,巨蛋站,26,5
3,0018,凹仔底站,17,15
4,0017,後驛站,11,21
5,0016,後火車站,7,25
6,0003,美麗島站,4,28
7,0009,中央公園站,14,15
8,0021,三多站,0,32
9,0028,新光中山站,5,27
10,0010,獅甲站,10,22
12,0026,凱旋站,7,25
13,0006,西子灣站,12,20
14,0043,鹽埕埔站,5,23
15,0008,市議會(舊址)站,16,16
16,0015,新興區公所站,8,16
17,0038,文化中正站,12,12
18,0029,五塊厝站,12,20
19,0027,技擊館站,15,17
96,0013,衛武營站,12,20
99,0052,大東文化藝術中心站-01,8,24
100,0051,大東文化藝術中心站-02,10,14
102,0053,捷運鳳山站,13,19
104,0056,捷運鳳山西站,11,21
107,0059,捷運小港站,6,26
123,0075,捷運青埔站,9,23
124,0077,捷運南岡山站,17,15
117,0069,捷運世運主場館站,8,24
119,0071,捷運楠梓加工出口區站,7,25
121,0073,捷運都會公園站,14,18
135,0088,高雄國際機場站,4,28
141,0094,草衙站,6,26
145,0098,福誠高中站,6,26
150,0103,南華市場站,7,9
151,0104,郵政總局站,4,12
139,0092,高鐵左營站,17,15
158,0111,巨蛋站(2),8,4
159,0112,後驛站(2),11,5
161,0114,中央公園站(2),9,3
163,0116,三多站(2),1,11
165,0118,文化中正站(2),9,3
243,0123,前鎮高中站,18,14
262,0139,台鐵新左營站,13,3
343,0177,捷運鳳山國中站,6,6
260,0137,捷運大寮站,17,15
261,0138,輔英科技大學站,7,25
344,0178,新甲國小站,0,16
346,0180,三信家商站,7,9
347,0181,大同醫院站,2,14
348,0182,公二公園站,4,12
349,0183,後備指揮部站,13,3
350,0184,三民高中站,12,4
351,0185,家樂福鼎山站,5,11
352,0186,新光國小站,5,11
353,0187,新莊高中站,6,10
354,0188,海青工商站,12,4
355,0189,合群新城和區站,16,0
356,0190,富國公園站,0,16
357,0191,鼓山高中站,8,8
358,0192,仁武區運動公園站,8,8
359,0193,旗津醫院站,7,9
360,0194,興達港站(2),9,7
263,0140,扶輪公園站,0,24
264,0141,高雄榮總站,8,24
266,0143,岡山河堤公園站,13,19
267,0144,岡山稽徵所站,11,17
268,0145,岡山忠孝里站,13,19
269,0146,岡山文化中心站,8,16
270,0147,原民會站,10,14
271,0148,消防局站,8,24
272,0149,前鎮加工區站(1),10,6
273,0150,前鎮加工區站(2),7,9
275,0152,福裕停車場站,17,7
276,0153,文化中心站,4,27
277,0154,正義市場站,2,13
278,0155,高雄高商站,15,13
280,0156,高雄監理所站,9,23
281,0157,楠梓翠屏站,3,29
282,0158,鳳新高中站(2),7,25
316,0159,森林公園站(2),19,13
317,0160,高雄真愛館站,4,12
319,0163,興達港站,11,5
321,0161,小港醫院站,1,31
322,0162,自由市場站,13,15
323,0164,文山高中站,7,9
324,0165,市府鳳山行政中心站(2),3,29
325,0166,澄清湖站(3),8,8
326,0167,澄清湖站(4),8,8
327,0168,澄清湖站(5),8,8
335,0134,大寮區公所站,2,14
336,0170,長青綜合服務中心站,8,8
337,0171,翠平公園站,9,7
338,0172,中鋼成功站,12,4
339,0173,聖和公園站,7,9
340,0174,圖書總館站,11,5
341,0175,中山公園站,12,4
342,0176,高雄監理所(武營)站,12,4
244,0124,美術館馬卡道站,5,27
245,0125,福山廣場站,18,14
249,0126,阿公店水庫站,14,2
251,0127,澄清湖站(2),13,19
252,0128,寶業里滯洪池站,7,25
253,0129,陽明溜冰場站,6,9
254,0130,義民廟站,6,10
255,0131,鼎泰廣場站,4,26
256,0132,平和停車場站,5,27
257,0133,小港區公所站,16,16
258,0135,和春技術學院站(1),16,12
259,0136,和春技術學院站(2),7,25
166,0119,文化師大站(2),4,8
167,0120,光華公園站(2),9,3
168,0121,海科大旗津站(2),4,12
241,0122,鳳新高中站,17,15
164,0117,市府四維站(2),12,0
162,0115,高雄女中站(2),5,7
160,0113,高雄醫學大學站(2),0,12
140,0093,孔廟站,11,21
