StationID,StationNO,name,available,empty
1,0019,生態園區站,6,22
2,0022,巨蛋站,22,10
3,0018,凹仔底站,2,30
4,0017,後驛站,12,20
5,0016,後火車站,8,23
6,0003,美麗島站,6,25
7,0009,中央公園站,6,25
8,0021,三多站,10,21
9,0028,新光中山站,11,21
10,0010,獅甲站,6,26
12,0026,凱旋站,8,24
13,0006,西子灣站,15,17
14,0043,鹽埕埔站,4,24
15,0008,市議會(舊址)站,19,13
16,0015,新興區公所站,13,11
17,0038,文化中正站,5,19
18,0029,五塊厝站,14,18
19,0027,技擊館站,15,17
96,0013,衛武營站,3,29
99,0052,大東文化藝術中心站-01,14,18
100,0051,大東文化藝術中心站-02,11,13
102,0053,捷運鳳山站,1,31
104,0056,捷運鳳山西站,2,30
107,0059,捷運小港站,8,24
123,0075,捷運青埔站,11,21
124,0077,捷運南岡山站,15,17
117,0069,捷運世運主場館站,4,28
119,0071,捷運楠梓加工出口區站,3,29
121,0073,捷運都會公園站,7,25
135,0088,高雄國際機場站,15,17
141,0094,草衙站,9,23
145,0098,福誠高中站,7,25
150,0103,南華市場站,7,9
151,0104,郵政總局站,2,14
139,0092,高鐵左營站,6,26
158,0111,巨蛋站(2),8,4
159,0112,後驛站(2),2,14
161,0114,中央公園站(2),2,10
163,0116,三多站(2),1,11
165,0118,文化中正站(2),1,11
243,0123,前鎮高中站,14,18
262,0139,台鐵新左營站,3,13
343,0177,捷運鳳山國中站,8,4
260,0137,捷運大寮站,0,32
261,0138,輔英科技大學站,13,19
344,0178,新甲國小站,6,10
346,0180,三信家商站,14,2
347,0181,大同醫院站,11,5
348,0182,公二公園站,1,15
349,0183,後備指揮部站,9,7
350,0184,三民高中站,11,5
351,0185,家樂福鼎山站,13,3
352,0186,新光國小站,4,12
353,0187,新莊高中站,3,13
354,0188,海青工商站,10,6
355,0189,合群新城和區站,10,6
356,0190,富國公園站,8,8
357,0191,鼓山高中站,16,0
358,0192,仁武區運動公園站,9,7
359,0193,旗津醫院站,3,13
360,0194,興達港站(2),11,5
361,0195,明德國小站,13,3
263,0140,扶輪公園站,5,19
264,0141,高雄榮總站,23,9
266,0143,岡山河堤公園站,14,18
267,0144,岡山稽徵所站,14,14
268,0145,岡山忠孝里站,16,16
269,0146,岡山文化中心站,11,13
270,0147,原民會站,11,13
271,0148,消防局站,14,15
272,0149,前鎮加工區站(1),15,0
273,0150,前鎮加工區站(2),13,3
275,0152,福裕停車場站,15,9
276,0153,文化中心站,15,17
277,0154,正義市場站,3,13
278,0155,高雄高商站,15,13
280,0156,高雄監理所站,9,23
281,0157,楠梓翠屏站,20,12
282,0158,鳳新高中站(2),16,16
316,0159,森林公園站(2),23,9
317,0160,高雄真愛館站,2,14
319,0163,興達港站,12,4
321,0161,小港醫院站,10,22
322,0162,自由市場站,9,19
323,0164,文山高中站,13,3
324,0165,市府鳳山行政中心站(2),2,30
325,0166,澄清湖站(3),4,12
326,0167,澄清湖站(4),6,10
327,0168,澄清湖站(5),14,2
335,0134,大寮區公所站,7,9
336,0170,長青綜合服務中心站,8,8
337,0171,翠平公園站,6,10
338,0172,中鋼成功站,15,1
339,0173,聖和公園站,11,5
340,0174,圖書總館站,8,8
341,0175,中山公園站,6,10
342,0176,高雄監理所(武營)站,7,9
244,0124,美術館馬卡道站,5,27
245,0125,福山廣場站,2,30
249,0126,阿公店水庫站,13,3
251,0127,澄清湖站(2),12,20
252,0128,寶業里滯洪池站,9,23
253,0129,陽明溜冰場站,4,12
254,0130,義民廟站,10,6
255,0131,鼎泰廣場站,3,29
256,0132,平和停車場站,8,24
257,0133,小港區公所站,10,22
258,0135,和春技術學院站(1),9,19
259,0136,和春技術學院站(2),13,19
166,0119,文化師大站(2),3,9
167,0120,光華公園站(2),3,9
168,0121,海科大旗津站(2),5,11
241,0122,鳳新高中站,20,12
164,0117,市府四維站(2),12,0
162,0115,高雄女中站(2),11,1
160,0113,高雄醫學大學站(2),5,7
140,0093,孔廟站,6,26
152,0105,民族八德站,18,14
153,0106,高雄大學站,20,12
154,0107,中山高中站,15,17
155,0108,龍華國小站,13,19
156,0109,海科大旗津站(1),9,7
146,0099,道明中學站,23,5
147,0100,英明公園站,5,27
148,0101,四維公園站,12,4
149,0102,正修大學站,16,16
142,0095,佛公國小站,18,14
143,0096,海洋局站,11,21
144,0097,二聖公園站,29,3
137,0090,左營高中站,21,11
138,0091,蓮潭會館站,19,9
122,0074,高雄第一科技大學站,25,7
120,0072,加昌國小站,24,8
118,0070,世運主場館站,12,20
125,0078,岡山區公所站,10,10
126,0079,西子樓站,12,20
127,0080,龍虎塔站,10,22
128,0081,右昌圖書館站,8,16
129,0082,中鋼台船站,21,11
130,0083,金獅湖站,13,19
131,0084,文藻外語大學站,27,3
132,0085,莊敬公園站,11,20
133,0086,高雄高工站,23,8
134,0087,鼎金國小站,10,22
108,0060,餐旅高中站,19,9
109,0061,社教館站,8,16
110,0062,班超公園站,10,14
111,0063,高雄中學站,10,17
112,0064,博愛國小站,12,16
113,0065,客家文物館站,17,7
114,0066,明堤公園站,5,23
115,0067,微笑公園站,2,30
116,0068,左營國小站,18,14
105,0057,市府鳳山行政中心站,24,8
106,0058,澄清湖站,19,13
103,0054,鳳凌廣場站,14,10
101,0055,市議會(新址)站,16,16
97,0034,高雄醫學大學站,8,20
98,0050,美術館藝片天站,22,10
20,0001,蓮池潭站,20,11
21,0037,裕誠辛亥站,0,32
22,0031,明誠光興站,6,26
23,0048,華榮公園站,10,21
24,0049,森林公園站,9,23
25,0002,鳳山火車站,3,24
