StationID,StationNO,name,available,empty
1,0019,生態園區站,12,16
2,0022,巨蛋站,27,5
3,0018,凹仔底站,7,25
4,0017,後驛站,10,22
5,0016,後火車站,6,26
6,0003,美麗島站,11,21
7,0009,中央公園站,3,29
8,0021,三多站,6,26
9,0028,新光中山站,6,26
10,0010,獅甲站,10,22
12,0026,凱旋站,17,15
13,0006,西子灣站,14,18
14,0043,鹽埕埔站,4,24
15,0008,市議會(舊址)站,15,17
16,0015,新興區公所站,20,4
17,0038,文化中正站,11,13
18,0029,五塊厝站,9,23
19,0027,技擊館站,16,16
96,0013,衛武營站,14,18
99,0052,大東文化藝術中心站-01,13,19
100,0051,大東文化藝術中心站-02,1,23
102,0053,捷運鳳山站,9,23
104,0056,捷運鳳山西站,5,27
107,0059,捷運小港站,7,25
123,0075,捷運青埔站,21,11
124,0077,捷運南岡山站,21,11
117,0069,捷運世運主場館站,3,29
119,0071,捷運楠梓加工出口區站,24,8
121,0073,捷運都會公園站,2,30
135,0088,高雄國際機場站,11,21
141,0094,草衙站,13,19
145,0098,福誠高中站,8,24
150,0103,南華市場站,3,13
151,0104,郵政總局站,11,5
139,0092,高鐵左營站,10,22
158,0111,巨蛋站(2),7,5
159,0112,後驛站(2),7,9
161,0114,中央公園站(2),3,9
163,0116,三多站(2),3,9
165,0118,文化中正站(2),4,8
243,0123,前鎮高中站,14,18
262,0139,台鐵新左營站,2,14
343,0177,捷運鳳山國中站,3,9
260,0137,捷運大寮站,6,26
261,0138,輔英科技大學站,11,21
344,0178,新甲國小站,6,10
346,0180,三信家商站,13,3
347,0181,大同醫院站,2,14
348,0182,公二公園站,6,10
349,0183,後備指揮部站,7,9
350,0184,三民高中站,11,5
351,0185,家樂福鼎山站,7,9
352,0186,新光國小站,9,7
353,0187,新莊高中站,6,10
354,0188,海青工商站,7,9
355,0189,合群新城和區站,12,4
356,0190,富國公園站,9,7
357,0191,鼓山高中站,7,9
358,0192,仁武區運動公園站,9,7
359,0193,旗津醫院站,1,15
