StationID,StationNO,name,available,empty
1,0019,生態園區站,19,9
2,0022,巨蛋站,30,1
3,0018,凹仔底站,13,19
4,0017,後驛站,15,17
5,0016,後火車站,11,21
6,0003,美麗島站,5,27
7,0009,中央公園站,7,25
8,0021,三多站,8,23
9,0028,新光中山站,3,28
10,0010,獅甲站,2,29
12,0026,凱旋站,5,27
13,0006,西子灣站,2,30
14,0043,鹽埕埔站,0,28
15,0008,市議會(舊址)站,4,28
16,0015,新興區公所站,16,8
17,0038,文化中正站,11,13
18,0029,五塊厝站,4,28
19,0027,技擊館站,17,15
96,0013,衛武營站,4,27
99,0052,大東文化藝術中心站-01,17,15
100,0051,大東文化藝術中心站-02,9,15
102,0053,捷運鳳山站,8,24
104,0056,捷運鳳山西站,18,14
107,0059,捷運小港站,6,26
123,0075,捷運青埔站,5,27
124,0077,捷運南岡山站,17,15
117,0069,捷運世運主場館站,11,21
119,0071,捷運楠梓加工出口區站,17,15
121,0073,捷運都會公園站,11,21
135,0088,高雄國際機場站,5,27
141,0094,草衙站,8,24
145,0098,福誠高中站,8,24
150,0103,南華市場站,6,10
151,0104,郵政總局站,8,8
139,0092,高鐵左營站,9,23
158,0111,巨蛋站(2),11,1
159,0112,後驛站(2),4,12
161,0114,中央公園站(2),3,9
163,0116,三多站(2),9,3
165,0118,文化中正站(2),5,7
243,0123,前鎮高中站,10,22
262,0139,台鐵新左營站,12,4
343,0177,捷運鳳山國中站,3,9
260,0137,捷運大寮站,21,11
261,0138,輔英科技大學站,2,30
344,0178,新甲國小站,8,8
346,0180,三信家商站,8,8
347,0181,大同醫院站,6,10
348,0182,公二公園站,3,13
349,0183,後備指揮部站,12,4
350,0184,三民高中站,0,16
351,0185,家樂福鼎山站,5,11
352,0186,新光國小站,5,11
353,0187,新莊高中站,1,15
354,0188,海青工商站,10,6
355,0189,合群新城和區站,5,11
357,0191,鼓山高中站,2,14
358,0192,仁武區運動公園站,10,6
359,0193,旗津醫院站,11,5
360,0194,興達港站(2),12,4
263,0140,扶輪公園站,2,22
264,0141,高雄榮總站,17,14
266,0143,岡山河堤公園站,15,17
267,0144,岡山稽徵所站,15,13
268,0145,岡山忠孝里站,9,23
269,0146,岡山文化中心站,11,13
270,0147,原民會站,15,9
271,0148,消防局站,15,17
272,0149,前鎮加工區站(1),10,6
273,0150,前鎮加工區站(2),9,7
275,0152,福裕停車場站,15,9
276,0153,文化中心站,6,26
277,0154,正義市場站,6,10
278,0155,高雄高商站,9,19
280,0156,高雄監理所站,18,14
281,0157,楠梓翠屏站,9,23
282,0158,鳳新高中站(2),14,18
316,0159,森林公園站(2),8,24
317,0160,高雄真愛館站,6,10
319,0163,興達港站,12,4
321,0161,小港醫院站,9,23
322,0162,自由市場站,13,15
323,0164,文山高中站,5,11
324,0165,市府鳳山行政中心站(2),3,29
325,0166,澄清湖站(3),10,6
326,0167,澄清湖站(4),2,14
327,0168,澄清湖站(5),5,11
335,0134,大寮區公所站,7,9
336,0170,長青綜合服務中心站,11,5
337,0171,翠平公園站,7,9
338,0172,中鋼成功站,12,4
339,0173,聖和公園站,6,10
340,0174,圖書總館站,16,0
341,0175,中山公園站,6,10
342,0176,高雄監理所(武營)站,9,7
244,0124,美術館馬卡道站,6,26
245,0125,福山廣場站,6,26
249,0126,阿公店水庫站,9,7
251,0127,澄清湖站(2),12,20
252,0128,寶業里滯洪池站,18,14
253,0129,陽明溜冰場站,11,5
254,0130,義民廟站,8,7
255,0131,鼎泰廣場站,2,25
256,0132,平和停車場站,7,25
257,0133,小港區公所站,11,21
258,0135,和春技術學院站(1),13,15
259,0136,和春技術學院站(2),18,14
166,0119,文化師大站(2),4,8
167,0120,光華公園站(2),5,7
168,0121,海科大旗津站(2),11,5
241,0122,鳳新高中站,7,25
164,0117,市府四維站(2),6,6
162,0115,高雄女中站(2),12,0
160,0113,高雄醫學大學站(2),0,12
140,0093,孔廟站,12,20
152,0105,民族八德站,16,16
153,0106,高雄大學站,17,15
154,0107,中山高中站,14,18
155,0108,龍華國小站,7,25
156,0109,海科大旗津站(1),8,8
146,0099,道明中學站,4,24
147,0100,英明公園站,9,23
148,0101,四維公園站,12,4
149,0102,正修大學站,9,23
142,0095,佛公國小站,13,19
143,0096,海洋局站,7,25
144,0097,二聖公園站,21,11
137,0090,左營高中站,15,17
138,0091,蓮潭會館站,1,27
122,0074,高雄第一科技大學站,21,11
