StationID,StationNO,name,available,empty
1,0019,生態園區站,13,15
2,0022,巨蛋站,5,27
3,0018,凹仔底站,6,26
4,0017,後驛站,16,16
5,0016,後火車站,14,18
6,0003,美麗島站,10,22
7,0009,中央公園站,28,4
8,0021,三多站,24,8
9,0028,新光中山站,20,12
10,0010,獅甲站,9,23
12,0026,凱旋站,14,18
13,0006,西子灣站,11,21
14,0043,鹽埕埔站,12,16
15,0008,市議會(舊址)站,24,8
16,0015,新興區公所站,19,5
17,0038,文化中正站,11,13
18,0029,五塊厝站,21,11
19,0027,技擊館站,18,14
96,0013,衛武營站,23,9
99,0052,大東文化藝術中心站-01,7,25
100,0051,大東文化藝術中心站-02,8,16
102,0053,捷運鳳山站,17,15
104,0056,捷運鳳山西站,19,13
107,0059,捷運小港站,13,19
123,0075,捷運青埔站,7,25
124,0077,捷運南岡山站,18,14
117,0069,捷運世運主場館站,16,16
119,0071,捷運楠梓加工出口區站,10,22
121,0073,捷運都會公園站,16,16
135,0088,高雄國際機場站,7,25
141,0094,草衙站,9,23
145,0098,福誠高中站,6,26
150,0103,南華市場站,3,13
151,0104,郵政總局站,6,10
139,0092,高鐵左營站,11,21
158,0111,巨蛋站(2),1,11
159,0112,後驛站(2),0,16
161,0114,中央公園站(2),7,5
163,0116,三多站(2),10,2
165,0118,文化中正站(2),11,1
243,0123,前鎮高中站,7,25
262,0139,台鐵新左營站,5,11
343,0177,捷運鳳山國中站,11,1
260,0137,捷運大寮站,3,29
261,0138,輔英科技大學站,23,9
344,0178,新甲國小站,7,9
346,0180,三信家商站,4,12
347,0181,大同醫院站,13,3
348,0182,公二公園站,11,5
349,0183,後備指揮部站,8,8
350,0184,三民高中站,8,8
351,0185,家樂福鼎山站,4,12
352,0186,新光國小站,12,4
353,0187,新莊高中站,7,9
354,0188,海青工商站,7,9
355,0189,合群新城和區站,12,4
356,0190,富國公園站,6,10
357,0191,鼓山高中站,11,5
358,0192,仁武區運動公園站,13,3
359,0193,旗津醫院站,11,5
360,0194,興達港站(2),9,7
263,0140,扶輪公園站,9,15
264,0141,高雄榮總站,11,21
266,0143,岡山河堤公園站,18,14
267,0144,岡山稽徵所站,10,18
268,0145,岡山忠孝里站,14,18
269,0146,岡山文化中心站,14,10
270,0147,原民會站,10,14
271,0148,消防局站,9,23
272,0149,前鎮加工區站(1),10,6
273,0150,前鎮加工區站(2),7,9
275,0152,福裕停車場站,7,17
