StationID,StationNO,name,available,empty
1,0019,生態園區站,12,16
2,0022,巨蛋站,25,7
3,0018,凹仔底站,17,15
4,0017,後驛站,6,26
5,0016,後火車站,12,20
6,0003,美麗島站,12,20
7,0009,中央公園站,20,12
8,0021,三多站,9,23
9,0028,新光中山站,17,15
10,0010,獅甲站,10,22
12,0026,凱旋站,10,22
13,0006,西子灣站,31,1
14,0043,鹽埕埔站,3,25
15,0008,市議會(舊址)站,3,29
16,0015,新興區公所站,12,12
17,0038,文化中正站,2,22
18,0029,五塊厝站,12,20
19,0027,技擊館站,13,19
96,0013,衛武營站,0,32
99,0052,大東文化藝術中心站-01,13,19
100,0051,大東文化藝術中心站-02,6,18
102,0053,捷運鳳山站,4,28
104,0056,捷運鳳山西站,26,6
107,0059,捷運小港站,7,25
123,0075,捷運青埔站,15,17
124,0077,捷運南岡山站,20,12
117,0069,捷運世運主場館站,19,13
119,0071,捷運楠梓加工出口區站,26,6
121,0073,捷運都會公園站,13,19
135,0088,高雄國際機場站,23,9
141,0094,草衙站,21,11
145,0098,福誠高中站,17,15
150,0103,南華市場站,9,7
151,0104,郵政總局站,15,1
139,0092,高鐵左營站,27,5
158,0111,巨蛋站(2),8,4
159,0112,後驛站(2),9,7
161,0114,中央公園站(2),5,7
163,0116,三多站(2),7,5
165,0118,文化中正站(2),1,11
243,0123,前鎮高中站,16,16
262,0139,台鐵新左營站,3,13
343,0177,捷運鳳山國中站,5,7
260,0137,捷運大寮站,19,13
261,0138,輔英科技大學站,3,29
344,0178,新甲國小站,5,11
346,0180,三信家商站,11,5
347,0181,大同醫院站,4,12
348,0182,公二公園站,3,13
349,0183,後備指揮部站,9,7
350,0184,三民高中站,7,9
351,0185,家樂福鼎山站,9,7
352,0186,新光國小站,6,10
353,0187,新莊高中站,4,12
354,0188,海青工商站,12,4
355,0189,合群新城和區站,11,5
356,0190,富國公園站,0,16
357,0191,鼓山高中站,12,4
358,0192,仁武區運動公園站,7,9
359,0193,旗津醫院站,7,9
360,0194,興達港站(2),9,7
361,0195,明德國小站,4,12
263,0140,扶輪公園站,13,11
264,0141,高雄榮總站,21,11
266,0143,岡山河堤公園站,20,12
267,0144,岡山稽徵所站,13,15
268,0145,岡山忠孝里站,11,21
269,0146,岡山文化中心站,12,12
270,0147,原民會站,12,12
271,0148,消防局站,13,19
272,0149,前鎮加工區站(1),12,4
273,0150,前鎮加工區站(2),10,6
275,0152,福裕停車場站,14,10
276,0153,文化中心站,12,20
277,0154,正義市場站,9,7
278,0155,高雄高商站,21,7
280,0156,高雄監理所站,17,15
281,0157,楠梓翠屏站,6,26
282,0158,鳳新高中站(2),9,23
316,0159,森林公園站(2),10,22
317,0160,高雄真愛館站,11,5
319,0163,興達港站,14,2
321,0161,小港醫院站,14,18
322,0162,自由市場站,9,19
323,0164,文山高中站,2,14
324,0165,市府鳳山行政中心站(2),4,28
325,0166,澄清湖站(3),4,12
326,0167,澄清湖站(4),9,7
327,0168,澄清湖站(5),8,8
335,0134,大寮區公所站,7,9
336,0170,長青綜合服務中心站,9,7
337,0171,翠平公園站,7,9
338,0172,中鋼成功站,3,13
339,0173,聖和公園站,9,7
340,0174,圖書總館站,9,7
341,0175,中山公園站,1,15
342,0176,高雄監理所(武營)站,12,4
244,0124,美術館馬卡道站,10,22
245,0125,福山廣場站,4,28
249,0126,阿公店水庫站,12,4
251,0127,澄清湖站(2),9,23
252,0128,寶業里滯洪池站,26,6
253,0129,陽明溜冰場站,13,3
254,0130,義民廟站,8,8
255,0131,鼎泰廣場站,11,21
256,0132,平和停車場站,11,21
257,0133,小港區公所站,15,17
258,0135,和春技術學院站(1),17,11
259,0136,和春技術學院站(2),15,17
166,0119,文化師大站(2),5,7
167,0120,光華公園站(2),10,2
168,0121,海科大旗津站(2),4,12
241,0122,鳳新高中站,14,18
164,0117,市府四維站(2),1,11
162,0115,高雄女中站(2),5,7
160,0113,高雄醫學大學站(2),4,8
140,0093,孔廟站,14,18
152,0105,民族八德站,12,20
153,0106,高雄大學站,15,17
154,0107,中山高中站,20,12
155,0108,龍華國小站,10,22
156,0109,海科大旗津站(1),6,10
146,0099,道明中學站,21,7
147,0100,英明公園站,12,20
148,0101,四維公園站,7,9
149,0102,正修大學站,24,8
142,0095,佛公國小站,25,7
143,0096,海洋局站,6,26
144,0097,二聖公園站,9,23
137,0090,左營高中站,18,14
138,0091,蓮潭會館站,15,13
122,0074,高雄第一科技大學站,18,14
120,0072,加昌國小站,21,11
118,0070,世運主場館站,16,16
125,0078,岡山區公所站,13,7
126,0079,西子樓站,19,13
127,0080,龍虎塔站,23,9
128,0081,右昌圖書館站,15,9
129,0082,中鋼台船站,2,30
130,0083,金獅湖站,7,25
131,0084,文藻外語大學站,13,17
132,0085,莊敬公園站,17,15
133,0086,高雄高工站,8,24
134,0087,鼎金國小站,13,19
108,0060,餐旅高中站,25,3
109,0061,社教館站,15,9
110,0062,班超公園站,10,14
111,0063,高雄中學站,1,27
112,0064,博愛國小站,21,7
113,0065,客家文物館站,9,15
114,0066,明堤公園站,15,13
115,0067,微笑公園站,8,24
116,0068,左營國小站,19,13
105,0057,市府鳳山行政中心站,16,16
106,0058,澄清湖站,12,20
103,0054,鳳凌廣場站,11,13
101,0055,市議會(新址)站,13,19
97,0034,高雄醫學大學站,11,17
98,0050,美術館藝片天站,3,29
20,0001,蓮池潭站,19,13
21,0037,裕誠辛亥站,4,28
22,0031,明誠光興站,18,14
23,0048,華榮公園站,14,18
