StationID,StationNO,name,available,empty
1,0019,生態園區站,13,15
2,0022,巨蛋站,23,9
3,0018,凹仔底站,4,28
4,0017,後驛站,21,11
5,0016,後火車站,13,19
6,0003,美麗島站,28,4
7,0009,中央公園站,3,29
8,0021,三多站,3,29
9,0028,新光中山站,8,24
10,0010,獅甲站,11,21
12,0026,凱旋站,11,21
13,0006,西子灣站,13,19
14,0043,鹽埕埔站,14,14
15,0008,市議會(舊址)站,17,15
16,0015,新興區公所站,12,12
17,0038,文化中正站,3,21
18,0029,五塊厝站,2,30
19,0027,技擊館站,17,15
96,0013,衛武營站,7,25
99,0052,大東文化藝術中心站-01,16,16
100,0051,大東文化藝術中心站-02,11,13
102,0053,捷運鳳山站,8,24
104,0056,捷運鳳山西站,9,23
107,0059,捷運小港站,4,28
123,0075,捷運青埔站,19,13
124,0077,捷運南岡山站,19,13
117,0069,捷運世運主場館站,3,29
119,0071,捷運楠梓加工出口區站,13,19
121,0073,捷運都會公園站,18,14
135,0088,高雄國際機場站,10,22
141,0094,草衙站,19,13
145,0098,福誠高中站,19,13
150,0103,南華市場站,11,5
151,0104,郵政總局站,7,9
139,0092,高鐵左營站,10,22
158,0111,巨蛋站(2),9,3
159,0112,後驛站(2),4,12
161,0114,中央公園站(2),10,2
163,0116,三多站(2),0,12
165,0118,文化中正站(2),1,11
243,0123,前鎮高中站,15,17
262,0139,台鐵新左營站,10,6
343,0177,捷運鳳山國中站,6,6
260,0137,捷運大寮站,14,18
261,0138,輔英科技大學站,5,27
344,0178,新甲國小站,5,11
346,0180,三信家商站,10,6
347,0181,大同醫院站,6,10
348,0182,公二公園站,4,12
349,0183,後備指揮部站,8,8
350,0184,三民高中站,6,10
351,0185,家樂福鼎山站,8,8
352,0186,新光國小站,8,8
353,0187,新莊高中站,9,7
354,0188,海青工商站,9,7
355,0189,合群新城和區站,8,8
356,0190,富國公園站,0,16
357,0191,鼓山高中站,4,12
358,0192,仁武區運動公園站,10,6
359,0193,旗津醫院站,10,6
360,0194,興達港站(2),6,10
361,0195,明德國小站,7,9
263,0140,扶輪公園站,8,16
264,0141,高雄榮總站,19,13
266,0143,岡山河堤公園站,24,8
267,0144,岡山稽徵所站,16,12
268,0145,岡山忠孝里站,19,13
269,0146,岡山文化中心站,16,8
270,0147,原民會站,14,10
271,0148,消防局站,11,21
272,0149,前鎮加工區站(1),10,6
273,0150,前鎮加工區站(2),9,7
275,0152,福裕停車場站,13,11
276,0153,文化中心站,14,18
277,0154,正義市場站,8,8
278,0155,高雄高商站,16,12
